review_text,sentiment
"Sometimes I stray from this cleanser, but I always come back. It takes off all makeup completely and leaves my skin feeling fresh and looking bright. The exfoliation is very, very gentle, and perfect for my slightly sensitive skin. It seems expensive, but because you need just a bit it lasts for a long, long time.",1
"I am a 41 year old African American woman with sign of hormonal aging. This product has my skin looking great, but you must use all of the other products for the full benefits.",1
"I'm really enjoying this product. Received a sample trio of the Murad products to try first, then purchased the cleanser. Great deal at $35 as a little goes a long way! I use it nightly with my Clarisonic Mia and in the morning by itself. Leaves my skin feeling clean and smooth and appears to be helping to even out my skin tone.",1
"I tried this cleanser at a friends house, and I was instantly in love. I have combination skin, oily t-zone with flaky, dehydrated patches near my mouth and jaw line. After washing my face with this cleanser, my skin felt hydrated and more even-textured...So the next day, I bought this cleanser! However, it has been a week and my pores very large and I'm beginning to notice black heads :( my skin feels hydrated, but I'm still noticing a bit of dryness.",1
leaves the skin feeling fresh and revived... just loving it,1
"I am a 33 year old Latina with combination oily/normal skin. I didn't like the marketing on this as something that was to protect skin from hormonal aging (not there yet), but I loved the creamy texture and the way it left my skin feeling soft. Also, a little really goes a long way. It's worht the splurge.",1
"My best friend sent this in a care package - I recently moved from Southern CA to the east coast. My skin was feeling very dry, but I was hesitant to try a more moisturizing product because they usually lead to breakouts. Not so! My skin now feels very well-balanced and looks much more even. I use this product at night and Murad's Refreshing Cleanser in the morning.",1
very good cleaning-rich lather and does a great job.,1
Love it! Gentle and non-drying but gets your face clean and leaves it feeling soft.,1
"i like it, but not so crazy about the smell.",1
I'm a 42 year old African American female who has tried numerous cleansers. This cleanser has done wonders for my skin by noramalizing the texture as well as getting rid of the dark spots. Frequently complimented on how good and young I look! A great product.,1
it left a tight and clean feeling to the skin. very hydrating. 2 thumbs up,1
"I love this cleansing cream.my skin looks healthier,less acne.",1
"nice smell, texture, and feels good on dry skin.but it isn't easily washed out. you need to use warm water and care of it.",1
I have many cleanser (fickle) so I added this to my collection. It's highly concentrated yet still gentle. Don't let the pearl-like appearance freak you out. It feels soothing on skin plus it's nourishing. This will last a long time.,1
"A non-drying cleansing cream that does the job. After several failed attempts, this one delivers as promised. Great for winter skin.",1
This cleanses well and does not leave my skin feeling dry.,1
I love this cleansing cream. I used it a year ago and stopped because I had to be in a club to purchase it. I was so excited when I found it in the store. I can really tell a difference now that I'm using it again!,1
"Returned this product as it was to foamy to use with my Clarisonic and stings my eyes. On the plus side a very tiny amount is needed, less than the tip of a fingernail. Even using this small amount it was to foamy for me and took to long to rinse well. This is really not an exfoliating cleanser either .",0
"This is a great cleanser. It removes all my makeup and makes my skin glow and feel so soft. I tried this with the Resurgence serum and night moisturizer, and these products have just saved my skin.",1
Leaves my skin feeling clean and hydrated even before putting on moisturizer.,1
I love this cleanser by Murad! It really gets your skin clean---without feeling dry aferwards. And it's very concentrated---so you need very little---like the size of your fingernail---literally!I highly recommend this product for those wanting an excellent quality cleanser--and one that is a great value for the money as well.,1
"I use several cleansers to keep my skin looking younger and moist. I find of all the Murad products I have tried, this cleanser is the one product that I will use. Very gentle.",1
Good cleaning action and not too drying. Large size for the $$.,1
I love Boscia products. This is a great mask that hydrates and leaves my skin feeling great. It's not as silky in the morning as I was anticipating but it's still fairly hydrating for my very dry skin.,1
"I have been using this product for over a year and I have to say that my skin is looking better all the time. It does hydrate and exfoliate just like it says! I also use the day and night cream. Considering the price of $35 and you get a large bottle of this stuff, it's really not that expensive.",1
"I definately have hormonal skin; I get breakouts once a month, dry patches, fine lines even thought I am still young.I LOVE this entire line! I can literally control a breakout from the begining by using the wash, toner and serum. My skin is brighter, clearer, and better moisturized since switching to this line. I started using the line to prep for my wedding and had perfect skin even through the stress... LOVE IT!",1
I was using this cleanser for about a year and thought I wanted to try something less expensive. I instantly started breaking out and went back to Murad. My skin cleared instantly. I really believe it helps any hormonal imbalance and will never stray again!!,1
"This is a wonderful cleanser! It manages to be gentle and exfoliate at the same time, and it's in cream form, so it's hydrating -- not drying at all. A little goes a long way, so the $35 is worth spending; you don't need to use a lot for it to do its job. My skin feels refreshed, clear and moisturized. Highly recommend this!",1
"i had been looking for something to exfoliate my skin which has become a bit dull since i turned 30 about 6 months ago. i had blackheads all over my chin that just wouldn't go away and made my skin feel rough. i'd use a biore strip now and again, but the skin would be rough two days later. the blackheads were so tiny it's not like i could squeeze them out either (shame, shame). i know that EfoliKate did wonders for my chin and face, but $85 is a lot of money for the smallest size they carry, so i decided to give the Murad a shot. glad i did! i noticed a difference after one use! my skin was not dried out, it felt smoother and full of moisture and radiance. it exfoliate with enzymes, not micro-abrading grains like most exfoliators. and you really only need a pearl-sized squirt. i was able to use that tiny amount to wash my face and the top of my back, which is also a problem area. considering it's $35 for a 6-point-something ounce bottle i'd say this is the best value i've found for a product that actually works...",1
"This is a great cleanser! It cleans without drying my skin. I also have sensitive skin and have had allergic reactions to many other products, but have had no problems at all with this one.",1
Love the way this makes my skin feel. It keeps it smooth and clean without any dryness. I believe it helps with fine lines when you combine it with the rest of the regime. I will keep buying the product.,1
"I love this cleanser, non-abrasive and smells great",1
"fragrance free, smooth texture, and very gentle. yet effectively cleanses make-up as well. excellent for dry skin.this is my fourth tube.",1
I love Murad products!,1
"I received a sample of this cleanser and really liked it, yet, once I purchased it and used if for a few days, I found it to be too oily. My combination skin obviously felt too greasy and simply unclean after using this product. Again, I wanted to like this cleanser but . . .",0
"I LOVe LOVE LOVE the Murad line. I have SUPER dry/sensitive skin and I've tried it ALLLLLL. Once I got my hands on the Murad Day Lotion I was sold...I figured all their other products would be just as good and I was right. The cleansing cream is amazing, the eye cream just as good and the toner is also wonderful although it can irritate ur eyes a bit...but still AMAZING!! I definitely recommend if you have DRY skin.",1
"This product is creamy, yet, light and refreshing. I really feel like I get a deep cleansing whenever I use it.",1
This product is great for face and neck. It has a light exfoliation and great cleanser. It keeps my face feeling fresh and clean all day.,1
"very good and effective, but gentle, doesn't leave your face dried out",1
"I have had a cabinet full of cosmetics looking for the best one for my face. I have always had nice skin, but then I have always taken care of it too. As I have gotten older I have been looking for cleansers and moisturizers that make my skin look like I am 30 again. I love this cleanser. It really gets my face clean, cleans my pores beautifully. I use it with my Clairisonic which just amps up the effect.",1
"Great cleanser, cleans your face without drying it out.",1
"I WAS TOLD MY SEPH. STORE WOULD NO LONGER BE CARRYING SKYNN CELAND OR THEIR GLACIAL FACE WASH WHICH WAS WHAT I WENT IN THERE FOR SO THEY TOLD ME THIS WAS SI,ILAR. SO FAR I THINK I LIKE IT BETTER.",1
Good cleanser but I do not care for the scent. I'm not overly excited about this product.,0
I love the way this cleansing cream lathers. It works very nicely with my Clarisonic cleansing brush.,1
I have very very dry skin and this cleansing cream cleans without drying me out. Just a small amount goes a long way. Love the scent as well.,1
"I have used this cleanser for quite some time now and I absolutely love this product. My face feels clean, not dry. My skin looks dewy and fresh. I know that soundscliche, but I have never used a product that actually made my face feel this clean and yet not dry and itchy.",1
"I've been using Murad's ""Vitalic Energizing Pomegranate Cleanser,"" but I'm always on the lookout for new and better products so I thought I'd give this one a try. The cleansing cream did a good job of removing every bit of dirt, oil and makeup from my skin and it did a good job of keeping my skin exfoliated and my pores unclogged. It left my skin feeling soft and hydrated. However, the Murad ""Pomegranate Cleanser"" is a two-in-one dual-purpose product that cleanses and tones in one step and saves me time since I don't have to use a separate toner product after cleansing. The first time I used it I wanted to test to see how clean it actually got my face so I used my regular toner on my face and the toner pad came away completely clearâ€”no dirt or makeup left behind at all. So I know that it really does cleanse and tone my very oily skin in one step as it promises. It smells great and lathers easily. The pump dispenser is very convenient, too. Even though the ""Resurgence Cleansing Cream"" is a good cleanser, I am going to stick with the pomegranate cleanser because of it being a cleanser and toner all in one.",1
I'm always looking for products that will protect my aging skin. This facewash is wonderful. Other cleansers of this type seem to leave my face oily. This cleans my face well without leaving it oily or drying it out. I love it!,1
"I have never had dry skin before, but this winter took a toll on my skin, and even with great moisturizers, my skin was flaky. I decided to give this facewash a try as I am a big fan of all Murad products I have tried in the past, and I LOVE IT. It balanced out my skin so that it is not flaky, but not overly moisturized - great for people with combination skin. Now that my skin is balanced out better, my acne has gotten better as well. This product is great and I will never go back to what I used before.",1
great all purpose cleaner,1
This is a great everyday cleanser. It is gentle and non-drying and works well.,1
"I like this product because I have aging sensitive skin, and my skin feels clean and not stripped after use. The missing star is because I need to wash my face twice sometimes after using an SPF moisturizer.",1
"I normally get hormonal breakouts and I have reactions to any acne medication in face wash so I just use a gentle cleanser and my trusty clarisonic as well an occasional sulfur mask and spot treatment. Lately my skin has been outrageously dry and breaking out everywhere! Probably due to these annoying snow storms in the Mid-Atlantic :). I'm a Sephora employee and while at work I was looking through all the cleansers to find one with no acne medication and moisture boosting effects. I found this, took a sample, ABSOLUTELY LOVED IT. With in 2 days my skin's dryness was disappearing and my acne was cleared up (even more so than with my normal cleanser -Skyn Iceland-). Definitely recommend to anyone looking to restore moisture and clean deep down. I even noticed that at night after I washed out my clarisonic the brush seemed whiter than before :).",1
I've always used Philosophy products for my face but decided to try something new. I LOVE it. It's gentle and effective. I noticed improvements in my skin within about 2 days. I did purchase the toner and night cream with it.,1
"Love this stuff. A tiny bit goes a long way, and it removes makeup and leaves my face feeling soooo clean, without drying it out. A+++",1
"The best Murad product I've tried. I have oily skin, and it's just right for me. Not too dying, and not too oily. It helped me clear out my pimples as well. It goes a long way too. Just a pear-sized amount is enough for my whole face and neck.",1
"LOVE, LOVE, LOVE the whole line of Murad Resurgence skin care. At 53, I need all the help I can get and it totally delivers!!",1
"this product delivers. it's gently on, yet leaves my skin feeling clean and hydrated. it's a keeper",1
I have been using this product for several years and it has helped to keep my skin looking great. I use it in the morning and at night. Wonderful product as it helps to moisturize and cleanse my skin and also removes makeup.,1
I love this facewash it's great for cleansing while keeping skin looking youthful and vibrant,1
"Wonderful cleanser for aging skin. Love he pearlized consistency. Just bought my 2nd bottle, only need a small amount, a little goes a long way.",1
"Someone at Sephora pointed me towards this cleanser. I wasn't wild about the price at first. About a week after I started using it, I realized that my skin looked younger and more fresh. It takes all my make-up off easily, and is a great pick-me-up in the morning. Couldn't be happier!",1
"This is a wonderful product for dry or mature skin. It left my skin feeling so clean, but without the tight and dry feeling a lot of cleansers do. Thank you, Murad for great cleanser.",1
"I went in to Sephora a few weeks ago to look for something to save me from a sudden face outbreak, and the very helpful consultant helped me pick this one out. I have really dry skin, and was apparently over-washing it with very harsh facewash in a effort to kill the outbreak, which was apparently only making the situation worse. Since I've been using this product for the last few weeks, things have gotten a lot better and my face is almost back to normal. It's really nice and gentle and effective. It's only been a few weeks, so I can't vouch for long term effects, but it helped me tremendously.",1
"I have experimented with many high-end anti-aging cleansing regimes. This by far works the best for me. I use the Renewing Cleansing Cream with the Resurgence Sheer Lustre Day Lotion SPF 15, and the Resurgence Age-Balancing Night Cream. I am relieved of flaky skin without added oilyness. Murad Resurgence products have a nice clean scent without being too perfumey.",1
"Well I use the Cleansing cream, the Age diffusing serum, and then the hydrating cream. I have never had such clear, acne free, smooth, soft skin in my life. I'm 26 years old and I thought I was still experiencing acne!! I had dry patches sometimes, but then oily in the T Zone area. So I thought I had combination skin. Well I started using this regiment and my skin is absolutely perfect. My skin is hydrated all day, and its so smooth! My skin looks even better now, when I put on make up, although most of the time unless it s special occasion, I will go without foundation! I will never use anything else!",1
Murad's Resurgence Renewing Cleansing Cream is a great product. It is very soothing and my face always feels so refresh after I wash. Even before I apply the night cream. I would highly recommend this product.,1
"this product is ok. I am pregnant, and thought it would be great with my hormones going kooky. However it tends to dry my skin out. I am used to using the Essential C cleanser, and I actually prefer it to this one. also has a funny smell to it, almosts chokes ya!!",1
This product feels so gentle and soft on your skin and the best part is that you only need a little bit to cleanse your face and neck - should last for months and months. I will not be switching cleansers.,1
"very cleaning and so moisturizing. keeps my skinin a nice balanced place, while never ever drying. skin turns smooth as silk.",1
